Collar,Date,UTC,Point,clat,clong,tlat,tlong,tUTMe,tUTMn,cUTMe,cUTMn,error,hab
c6640,6/27/2018, 18:15:34,forest2,40.7039833,-77.72772,40.704029,-77.727456,269580.5915,4509480.402,269558.1283,4509476.021,22.85242447,forest
c6640,6/27/2018, 18:17:49,forest2,40.7052983,-77.7273917,40.704029,-77.727456,269580.5915,4509480.402,269590.4024,4509621.155,141.4019823,forest
c6640,6/27/2018, 18:20:05,forest2,40.70415,-77.7276967,40.704029,-77.727456,269580.5915,4509480.402,269560.6719,4509494.468,24.37285091,forest
c6640,6/27/2018, 18:22:20,forest2,40.7040117,-77.7277333,40.704029,-77.727456,269580.5915,4509480.402,269557.1025,4509479.209,23.48046632,forest
c6640,6/27/2018, 18:24:31,forest2,40.704465,-77.7275767,40.704029,-77.727456,269580.5915,4509480.402,269571.8974,4509529.125,49.59260568,forest
c6640,6/27/2018, 18:26:49,forest2,40.7040483,-77.7277783,40.704029,-77.727456,269580.5915,4509480.402,269553.4266,4509483.391,27.28362333,forest
c6640,6/27/2018, 18:28:53,forest2,40.7039217,-77.727795,40.704029,-77.727456,269580.5915,4509480.402,269551.5789,4509469.379,31.00168507,forest
c6640,6/27/2018, 18:31:02,forest2,40.7039167,-77.7277433,40.704029,-77.727456,269580.5915,4509480.402,269555.9299,4509468.688,27.2784309,forest
c6640,6/27/2018, 18:33:30,forest2,40.7040083,-77.7275833,40.704029,-77.727456,269580.5915,4509480.402,269569.7644,4509478.438,10.98720721,forest
c6640,6/27/2018, 18:35:36,forest2,40.7041117,-77.7274717,40.704029,-77.727456,269580.5915,4509480.402,269579.5503,4509489.625,9.300973067,forest
c6640,6/27/2018, 18:37:39,forest2,40.7042633,-77.7273267,40.704029,-77.727456,269580.5915,4509480.402,269592.3244,4509506.075,28.27263958,forest
c6640,6/27/2018, 18:39:44,forest2,40.7041383,-77.72731,40.704029,-77.727456,269580.5915,4509480.402,269593.3042,4509492.154,17.31608064,forest
c6640,6/27/2018, 18:41:49,forest2,40.7039367,-77.7274467,40.704029,-77.727456,269580.5915,4509480.402,269581.0589,4509470.13,10.30471948,forest
c6640,6/27/2018, 18:58:11,for3,40.7159417,-77.69241,40.715913,-77.692377,272584.9153,4510708.304,272582.2254,4510711.576,4.23791512,forest
c6640,6/27/2018, 19:00:16,for3,40.715885,-77.6920167,40.715913,-77.692377,272584.9153,4510708.304,272615.2565,4510704.262,30.55967849,forest
c6640,6/27/2018, 19:02:22,for3,40.7157933,-77.69248,40.715913,-77.692377,272584.9153,4510708.304,272575.8067,4510695.281,15.90852417,forest
c6640,6/27/2018, 19:04:27,for3,40.7158183,-77.6926367,40.715913,-77.692377,272584.9153,4510708.304,272562.6544,4510698.463,24.31618936,forest
c6640,6/27/2018, 19:06:37,for3,40.7155283,-77.6920733,40.715913,-77.692377,272584.9153,4510708.304,272609.2606,4510664.807,49.90566002,forest
c6640,6/27/2018, 19:08:49,for3,40.7155767,-77.692135,40.715913,-77.692377,272584.9153,4510708.304,272604.2132,4510670.34,42.64313496,forest
c6640,6/27/2018, 19:10:55,for3,40.7160517,-77.692045,40.715913,-77.692377,272584.9153,4510708.304,272613.4335,4510722.842,31.98580722,forest
c6640,6/27/2018, 19:13:08,for3,40.7151033,-77.691835,40.715913,-77.692377,272584.9153,4510708.304,272627.9441,4510617.005,101.0730415,forest
c6640,6/27/2018, 19:15:15,for3,40.7158917,-77.6922633,40.715913,-77.692377,272584.9153,4510708.304,272594.4477,4510705.645,9.882111792,forest
c6640,6/27/2018, 19:17:25,for3,40.7155567,-77.6926817,40.715913,-77.692377,272584.9153,4510708.304,272557.962,4510669.536,47.26651151,forest
c6640,6/27/2018, 19:19:37,for3,40.7159667,-77.6928317,40.715913,-77.692377,272584.9153,4510708.304,272546.6872,4510715.444,38.82820531,forest
c6640,6/27/2018, 19:21:50,for3,40.715805,-77.6917817,40.715913,-77.692377,272584.9153,4510708.304,272634.8359,4510694.771,51.64725061,forest
c6640,6/27/2018, 19:24:01,for3,40.715985,-77.692385,40.715913,-77.692377,272584.9153,4510708.304,272584.4847,4510716.318,8.04337632,forest
c6640,6/27/2018, 19:26:11,for3,40.71591,-77.6927617,40.715913,-77.692377,272584.9153,4510708.304,272552.4073,4510708.968,32.46076729,forest
c6640,6/27/2018, 19:47:49,ag1,40.7794167,-77.6681483,40.779348,-77.667749,274879.5745,4517687.497,274846.1077,4517696.15,34.51666585,open
c6640,6/27/2018, 19:49:52,ag1,40.779485,-77.6679483,40.779348,-77.667749,274879.5745,4517687.497,274863.2175,4517703.219,22.68968835,open
c6640,6/27/2018, 19:51:54,ag1,40.78069,-77.6705183,40.779348,-77.667749,274879.5745,4517687.497,274650.3986,4517843.607,277.1447987,open
c6640,6/27/2018, 19:53:57,ag1,40.779375,-77.667645,40.779348,-77.667749,274879.5745,4517687.497,274888.4428,4517690.228,9.267553898,open
c6640,6/27/2018, 19:56:00,ag1,40.7798183,-77.6687567,40.779348,-77.667749,274879.5745,4517687.497,274796.1193,4517742.3,99.78104215,open
c6640,6/27/2018, 19:58:03,ag1,40.7793967,-77.6675033,40.779348,-77.667749,274879.5745,4517687.497,274900.4749,4517692.273,21.40892341,open
c6640,6/27/2018, 20:00:06,ag1,40.77912,-77.667095,40.779348,-77.667749,274879.5745,4517687.497,274933.9986,4517660.504,60.69070568,open
c6640,6/27/2018, 20:02:09,ag1,40.7791233,-77.667445,40.779348,-77.667749,274879.5745,4517687.497,274904.4714,4517661.77,35.80984265,open
c6640,6/27/2018, 20:04:12,ag1,40.7792217,-77.6677683,40.779348,-77.667749,274879.5745,4517687.497,274877.5189,4517673.525,14.15346469,open
c6640,6/27/2018, 20:06:14,ag1,40.7792517,-77.6680233,40.779348,-77.667749,274879.5745,4517687.497,274856.0995,4517677.51,25.48620895,open
c6640,6/27/2018, 20:16:58,ag2,40.7726333,-77.6808483,40.772727,-77.68078,273757.3438,4516985.964,273751.261,4516975.737,11.9143405,open
c6640,6/27/2018, 20:19:04,ag2,40.7727083,-77.6812633,40.772727,-77.68078,273757.3438,4516985.964,273716.4881,4516985.135,40.79675002,open
c6640,6/27/2018, 20:21:09,ag2,40.7727167,-77.6811883,40.772727,-77.68078,273757.3438,4516985.964,273722.8469,4516985.874,34.43997592,open
c6640,6/27/2018, 20:23:20,ag2,40.7726117,-77.6808117,40.772727,-77.68078,273757.3438,4516985.964,273754.2768,4516973.244,13.11039652,open
