CollarID,No,UTC_Date,UTC_Time,ECEF_X [m],ECEF_Y [m],ECEF_Z [m],Lat,Long,Height [m],DOP,FixType,Mort. Status,Main [V],Beacon [V],Easting_Zone,Easting,Northing
17153,16230,5/22/2016,5:00,1007303,-4658107,4225619,41.753192,-77.7978306,640.58,1.6,val. GPS-3D,normal,3.32,3.54,18267386.5,267387,4626157.66
17153,16231,5/22/2016,6:00,1007149,-4658200,4225601,41.7527213,-77.7998765,672.13,1.8,val. GPS-3D,normal,3.34,3.52,18267214.68,267215,4626110.931
17153,16232,5/22/2016,7:00,1007164,-4658265,4225560,41.7520461,-77.7998654,694.59,3.4,val. GPS-3D,normal,3.34,3.54,18267213.17,267213,4626035.924
17153,16233,5/22/2016,8:01,1007127,-4658222,4225545,41.7522441,-77.8001909,647.41,3.8,val. GPS-3D,normal,3.32,3.44,18267186.81,267187,4626058.801
17153,16234,5/22/2016,9:00,1007101,-4658126,4225678,41.7537328,-77.8002525,661.88,3,val. GPS-3D,normal,3.34,3.52,18267187.07,267187,4626224.272
17153,16235,5/22/2016,10:00,1007249,-4658028,4225720,41.7544016,-77.7982644,641.72,3.2,val. GPS-3D,normal,3.34,3.52,18267354.8,267355,4626293.153
17153,16236,5/22/2016,11:00,1007359,-4658041,4225689,41.7539779,-77.7970048,647.9,2.2,val. GPS-3D,normal,3.32,3.44,18267458,267458,4626242.691
17153,16237,5/22/2016,12:00,1007344,-4657987,4225672,41.7541991,-77.7970439,594.84,4.8,val. GPS-3D,normal,3.32,3.54,18267455.55,267456,4626267.365
17153,16238,5/22/2016,13:00,1007366,-4658028,4225675,41.7539512,-77.7968895,630.2,3.2,val. GPS-3D,normal,3.36,3.56,18267467.49,267467,4626239.413
17153,16239,5/22/2016,14:00,1007362,-4658028,4225690,41.754057,-77.7969365,639.56,5.4,val. GPS-3D,normal,3.34,3.52,18267463.96,267464,4626251.289
17153,16240,5/22/2016,16:00,1007360,-4658024,4225677,41.7539956,-77.7969499,627.67,2.6,val. GPS-3D,normal,3.34,3.46,18267462.63,267463,4626244.514
17153,16241,5/22/2016,17:00,1007367,-4658013,4225676,41.7540445,-77.7968397,620.09,4.6,val. GPS-3D,normal,3.36,3.44,18267471.97,267472,4626249.642
17153,16242,5/22/2016,18:00,1007394,-4658032,4225691,41.7539997,-77.7965707,648.19,4.4,val. GPS-3D,normal,3.34,3.54,18267494.18,267494,4626243.939
17153,16243,5/22/2016,19:00,1007231,-4657946,4225816,41.7555497,-77.7982675,643.03,1.6,val. GPS-3D,normal,3.34,3.54,18267358.69,267359,4626420.639
17153,16244,5/22/2016,20:00,1007353,-4658008,4225707,41.7542997,-77.7969915,634.88,2.8,val. GPS-3D,normal,3.34,3.56,18267460.27,267460,4626278.394
17153,16245,5/22/2016,22:00,1007454,-4657821,4225896,41.7565368,-77.7953293,640.33,3.8,val. GPS-3D,normal,3.34,3.44,18267606.55,267607,4626522.302
17153,16246,5/22/2016,23:00,1007359,-4657886,4225862,41.756048,-77.7966109,650.09,1.8,val. GPS-3D,normal,3.34,3.54,18267498.23,267498,4626471.489
17153,16247,5/23/2016,0:00,1007437,-4657910,4225805,41.7554257,-77.7957553,641.93,3.4,val. GPS-3D,normal,3.34,3.5,18267567.12,267567,4626400.077
17153,16248,5/23/2016,1:00,1007431,-4658003,4225710,41.7542503,-77.7960622,645.53,4,GPS-2D,normal,3.34,3.54,18267537.36,267537,4626270.395
17153,16249,5/23/2016,2:00,1007265,-4657937,4225842,41.7557339,-77.7978451,659.14,1.8,val. GPS-3D,normal,3.32,3.52,18267394.48,267394,4626439.957
17153,16250,5/23/2016,3:00,1007276,-4657939,4225842,41.7557083,-77.7977209,662.33,2.2,val. GPS-3D,normal,3.34,3.54,18267404.71,267405,4626436.771
17153,16251,5/23/2016,4:00,1007451,-4657872,4225846,41.755906,-77.7954942,643.74,3.8,val. GPS-3D,normal,3.34,3.54,18267590.56,267591,4626452.7
17153,16252,5/23/2016,5:00,1007344,-4657805,4225871,41.7566021,-77.7965813,594.66,2.2,val. GPS-3D,normal,3.34,3.52,18267502.69,267503,4626532.936
17153,16253,5/23/2016,6:00,1007374,-4657864,4225910,41.7564803,-77.7963787,668.39,1.8,val. GPS-3D,normal,3.36,3.54,18267519.09,267519,4626518.859
17153,16254,5/23/2016,7:00,1007364,-4657858,4225907,41.7565079,-77.796481,660.44,3.4,val. GPS-3D,normal,3.36,3.56,18267510.69,267511,4626522.21
17153,16255,5/23/2016,8:02,1007418,-4657889,4225833,41.7557609,-77.7959252,642.27,3.4,val. GPS-3D,normal,3.32,3.54,18267554.2,267554,4626437.754
17153,16256,5/23/2016,9:00,1007414,-4657915,4225811,41.7554659,-77.7960383,645.95,3,val. GPS-3D,normal,3.34,3.54,18267543.74,267544,4626405.3
17153,16257,5/23/2016,10:00,1007287,-4657990,4225767,41.7548918,-77.7977213,651.31,3.2,val. GPS-3D,normal,3.34,3.52,18267401.73,267402,4626346.111
17153,16258,5/23/2016,11:00,1007332,-4657958,4225798,41.7552305,-77.7971112,655.71,5.2,val. GPS-3D,normal,3.3,3.5,18267453.68,267454,4626382.067
17153,16259,5/23/2016,12:01,1007295,-4657997,4225733,41.7546123,-77.7976451,635.03,12.6,GPS-3D,normal,3.32,3.48,18267407.06,267407,4626314.87
17153,16260,5/23/2016,13:00,1007343,-4657945,4225800,41.7553062,-77.7969489,649.3,3,val. GPS-3D,normal,3.34,3.56,18267467.45,267467,4626390.031
17153,16261,5/23/2016,14:00,1007203,-4657937,4225811,41.7556043,-77.7985737,628.72,5.4,val. GPS-3D,normal,3.34,3.56,18267333.43,267333,4626427.535
17153,16262,5/23/2016,15:00,1007251,-4657956,4225798,41.7553449,-77.7980579,641.48,1.8,val. GPS-3D,normal,3.36,3.58,18267375.38,267375,4626397.328
17153,16263,5/23/2016,16:00,1007376,-4657974,4225740,41.7546915,-77.7966348,635.69,6,val. GPS-3D,normal,3.38,3.5,18267491.34,267491,4626320.925
17153,16264,5/23/2016,17:01,1007412,-4657952,4225777,41.7550232,-77.7961558,649.97,4.2,val. GPS-3D,normal,3.34,3.56,18267532.36,267532,4626356.47
17153,16265,5/23/2016,18:00,1007257,-4657951,4225793,41.755333,-77.7979747,635.45,3.6,val. GPS-3D,normal,3.36,3.58,18267382.25,267382,4626395.783
17153,16266,5/23/2016,19:00,1007214,-4657930,4225876,41.7560679,-77.7984267,668.64,4.8,val. GPS-3D,normal,3.38,3.58,18267347.33,267347,4626478.615
17153,16267,5/23/2016,20:00,1007205,-4657919,4225876,41.7561438,-77.7985045,659.2,1.6,val. GPS-3D,normal,3.38,3.56,18267341.14,267341,4626487.249
17153,16268,5/23/2016,21:00,1007160,-4658070,4225711,41.7542079,-77.7994169,652.32,1.8,val. GPS-3D,normal,3.36,3.54,18267258.27,267258,4626274.755
17153,16269,5/23/2016,22:00,1007141,-4658088,4225700,41.7540526,-77.7996859,655.13,3.6,val. GPS-3D,normal,3.38,3.56,18267235.34,267235,4626258.242
17153,16270,5/23/2016,23:01,1007068,-4658059,4225763,41.7547381,-77.8004701,664.43,3.8,val. GPS-3D,normal,3.34,3.56,18267172.62,267173,4626336.485
17153,16271,5/24/2016,0:00,1007073,-4658120,4225719,41.7540788,-77.8005663,680.39,5,val. GPS-3D,normal,3.34,3.56,18267162.24,267162,4626263.54
17153,16272,5/24/2016,1:00,1007020,-4658131,4225739,41.7542158,-77.801217,693.38,2,val. GPS-3D,normal,3.36,3.56,18267108.62,267109,4626280.516
17153,16273,5/24/2016,2:00,1007027,-4658112,4225707,41.7541034,-77.8010865,659.32,3.4,val. GPS-3D,normal,3.34,3.56,18267119.07,267119,4626267.676
17153,16274,5/24/2016,3:00,1007057,-4658016,4225803,41.7552726,-77.8004901,657.98,2.8,val. GPS-3D,normal,3.36,3.56,18267172.89,267173,4626395.895
17153,16275,5/24/2016,4:00,1007059,-4658025,4225811,41.7552711,-77.8004895,670.18,2.2,val. GPS-3D,normal,3.34,3.56,18267172.94,267173,4626395.721
17153,16276,5/24/2016,5:00,1007073,-4658029,4225847,41.7554717,-77.8003351,699.28,7.2,val. GPS-3D,normal,3.36,3.54,18267186.5,267187,4626417.577
17153,16277,5/24/2016,6:00,1006840,-4658002,4225728,41.7551259,-77.8030046,563.62,6,val. GPS-3D,normal,3.36,3.54,18266963.29,266963,4626386.412
17153,16278,5/24/2016,7:00,1006930,-4658109,4225747,41.7545125,-77.8022188,668.48,1.4,val. GPS-3D,normal,3.34,3.54,18267026.41,267026,4626316.17
17153,16279,5/24/2016,8:00,1006954,-4658090,4225757,41.7546606,-77.8018885,665.06,2.6,val. GPS-3D,normal,3.36,3.5,18267054.41,267054,4626331.719
17153,16280,5/24/2016,9:00,1007049,-4658068,4225827,41.7551393,-77.8007162,710.61,1.8,val. GPS-3D,normal,3.36,3.52,18267153.61,267154,4626381.695
17153,16281,5/24/2016,10:00,1007321,-4657906,4225862,41.755979,-77.7971083,658.68,2.4,val. GPS-3D,normal,3.34,3.4,18267456.63,267457,4626465.168
17153,16282,5/24/2016,11:00,1007197,-4657951,4225828,41.7556441,-77.7986798,649.3,6.4,val. GPS-3D,normal,3.34,3.54,18267324.75,267325,4626432.234
17153,16283,5/24/2016,12:00,1007188,-4657984,4225780,41.7551397,-77.7988694,639.98,4.6,val. GPS-3D,normal,3.34,3.54,18267307.16,267307,4626376.746
17153,16284,5/24/2016,13:00,1007111,-4658066,4225752,41.7545687,-77.7999826,668.98,2,val. GPS-3D,normal,3.34,3.48,18267212.54,267213,4626316.358
17153,16285,5/24/2016,14:00,1007079,-4658132,4225699,41.7538666,-77.8005263,676.77,2,val. GPS-3D,normal,3.38,3.48,18267164.8,267165,4626239.865
17153,16286,5/24/2016,15:00,1007102,-4658204,4225601,41.7527574,-77.8004389,667.63,2,val. GPS-3D,normal,3.38,3.54,18267168.05,267168,4626116.464
17153,16287,5/24/2016,16:00,1007094,-4658208,4225595,41.7527038,-77.8005431,665.29,2.6,val. GPS-3D,normal,3.36,3.56,18267159.19,267159,4626110.794
