num,Collar ,Date,Lat,Long,x,y
1,6275,5/24/2019,41.7541083,-77.8006033,267159.2664,4626266.913
2,6275,5/24/2019,41.7533583,-77.8007183,267146.9914,4626183.945
3,6275,5/25/2019,41.7535467,-77.800875,267134.6437,4626205.29
4,6275,5/25/2019,41.7536617,-77.80084,267137.9699,4626217.964
5,6275,5/26/2019,41.753415,-77.8016383,267070.7004,4626192.734
6,6275,5/26/2019,41.752285,-77.8001317,267191.8844,4626063.178
7,6275,5/27/2019,41.75236,-77.8000183,267201.5847,4626071.199
8,6275,5/27/2019,41.7527283,-77.800445,267167.437,4626113.25
9,6275,5/28/2019,41.7526033,-77.7998017,267220.4747,4626097.628
10,6275,5/28/2019,41.7539467,-77.800945,267130.2704,4626249.895
11,6275,5/29/2019,41.7537433,-77.8004917,267167.2254,4626226.082
12,6275,5/29/2019,41.7540717,-77.8007717,267145.132,4626263.305
13,6275,5/30/2019,41.7552217,-77.8010467,267126.4272,4626391.746
14,6275,5/30/2019,41.7550367,-77.80107,267123.8206,4626371.266
1,6293,5/24/2019,41.7649617,-77.8064717,266710.6727,4627487.981
2,6293,5/24/2019,41.7647883,-77.80132,267138.3217,4627454.755
3,6293,5/25/2019,41.763665,-77.804575,266863.653,4627338.849
4,6293,5/25/2019,41.7660783,-77.8044917,266879.3218,4627606.595
5,6293,5/26/2019,41.7655517,-77.8053117,266809.2454,4627550.346
6,6293,5/26/2019,41.764835,-77.80455,266869.9705,4627468.697
7,6293,5/27/2019,41.7658483,-77.8060567,266748.387,4627585.302
8,6293,5/27/2019,41.7657933,-77.8057833,266770.9159,4627578.453
9,6293,5/28/2019,41.764645,-77.8059983,266748.8799,4627451.53
10,6293,5/28/2019,41.764765,-77.805705,266773.6979,4627464.058
11,6293,5/29/2019,41.7651433,-77.8068267,266681.819,4627509.109
12,6293,5/29/2019,41.7650067,-77.8045517,266870.4513,4627487.768
13,6293,5/30/2019,41.7638167,-77.8048083,266844.8074,4627356.327
14,6293,5/30/2019,41.76421,-77.8047417,266851.7692,4627399.818
1,6621,5/24/2019,41.7712983,-77.80392,266945.7583,4628184.671
2,6621,5/24/2019,41.7694183,-77.8049167,266856.0946,4627978.62
3,6621,5/25/2019,41.768805,-77.805335,266819.0995,4627911.654
4,6621,5/25/2019,41.769205,-77.8050667,266842.8525,4627955.342
5,6621,5/26/2019,41.7692767,-77.8049567,266852.2563,4627963.005
6,6621,5/26/2019,41.76851,-77.806465,266724.0951,4627881.964
7,6621,5/27/2019,41.7681667,-77.80712,266668.4009,4627845.623
8,6621,5/27/2019,41.7665317,-77.8078233,266604.0052,4627665.983
9,6621,5/28/2019,41.76806,-77.807,266677.9894,4627833.449
10,6621,5/28/2019,41.7675917,-77.807235,266656.7556,4627782.087
11,6621,5/29/2019,41.7678083,-77.8060133,266759.1004,4627802.822
12,6621,5/29/2019,41.76756,-77.807195,266659.9659,4627778.458
13,6621,5/30/2019,41.7668317,-77.8101383,266412.646,4627705.584
14,6621,5/30/2019,41.767065,-77.8106533,266370.6808,4627732.89
1,6631,5/23/2019,41.695855,-77.7894117,267880.0584,4619768.287
2,6631,5/23/2019,41.6956833,-77.7894783,267873.8979,4619749.401
3,6631,5/24/2019,41.6951667,-77.7886817,267938.3344,4619689.891
4,6631,5/24/2019,41.696575,-77.7896517,267862.6763,4619848.882
5,6631,5/25/2019,41.695665,-77.7905433,267785.2,4619750.243
6,6631,5/25/2019,41.6959833,-77.7894017,267881.3523,4619782.506
7,6631,5/26/2019,41.6950217,-77.7872117,268060.1511,4619669.827
8,6631,5/26/2019,41.6942683,-77.7875933,268025.6836,4619587.2
9,6631,5/27/2019,41.6947033,-77.788025,267991.3203,4619636.665
10,6631,5/27/2019,41.6948033,-77.7887267,267933.2819,4619649.661
11,6631,5/28/2019,41.6960983,-77.7901883,267816.3038,4619797.398
12,6631,5/28/2019,41.6956667,-77.7906733,267774.3872,4619750.782
13,6631,5/29/2019,41.6942867,-77.7860233,268156.412,4619585.012
14,6631,5/29/2019,41.694655,-77.78633,268132.211,4619626.734
1,6646,5/21/2019,41.7474533,-77.838785,263960.1635,4625632.072
2,6646,5/21/2019,41.7464433,-77.8369967,264105.1708,4625515.014
3,6646,5/22/2019,41.7449833,-77.8350717,264259.9031,4625347.616
4,6646,5/22/2019,41.7449583,-77.8354083,264231.8202,4625345.763
5,6646,5/23/2019,41.744915,-77.835725,264205.3251,4625341.824
6,6646,5/23/2019,41.745335,-77.8352467,264246.638,4625387.149
7,6646,5/24/2019,41.745455,-77.83521,264250.1293,4625400.373
8,6646,5/24/2019,41.7464033,-77.8349583,264274.5322,4625504.981
9,6646,5/25/2019,41.7459317,-77.835775,264204.8905,4625454.855
10,6646,5/25/2019,41.7464433,-77.834,264354.3682,4625506.796
11,6646,5/26/2019,41.7475183,-77.83503,264272.6522,4625628.987
12,6646,5/26/2019,41.747375,-77.8351767,264259.9285,4625613.477
13,6646,5/27/2019,41.7476333,-77.8353067,264250.0641,4625642.515
14,6646,5/27/2019,41.7473517,-77.8349117,264281.8796,4625610.163
1,6655,5/30/2017,40.75419,-77.5515083,284608.3631,4514602.382
2,6655,5/30/2017,40.7540267,-77.5513683,284619.6553,4514583.908
3,6655,5/31/2017,40.753595,-77.552545,284518.9165,4514538.871
4,6655,5/31/2017,40.7537117,-77.5522883,284540.9658,4514551.196
5,6655,6/1/2017,40.753,-77.5526417,284508.83,4514473.051
6,6655,6/1/2017,40.7538167,-77.5518067,284581.9647,4514561.67
7,6655,6/2/2017,40.7538617,-77.5520517,284561.4256,4514567.268
8,6655,6/2/2017,40.753995,-77.553015,284480.5287,4514584.434
9,6655,6/3/2017,40.7539467,-77.5534967,284439.7046,4514580.256
10,6655,6/3/2017,40.7531933,-77.551675,284591.0701,4514492.136
11,6655,6/4/2017,40.7531883,-77.5526067,284512.3934,4514493.87
12,6655,6/4/2017,40.75357,-77.552075,284558.5162,4514534.94
13,6655,6/5/2017,40.7537617,-77.551955,284569.2666,4514555.928
14,6655,6/5/2017,40.7541,-77.553185,284466.5156,4514596.509
1,6603,5/31/2017,40.7708367,-77.8560083,258960.4653,4517243.148
2,6603,5/31/2017,40.77052,-77.8559817,258961.565,4517207.913
